feature_name,importance,rank,feature_group
loc_mol_weight_10A,0.17559105411732073,1,Physicochemical environment
delta_hydrophobicity,0.14467938689577864,2,Mutation-specific biochemical changes
delta_volume_vdw,0.07983605281059916,3,Mutation-specific biochemical changes
delta_mol_weight,0.03074547247683661,4,Mutation-specific biochemical changes
mut_onehot_E,0.02429528928452047,5,Mutation-specific biochemical changes
sin_phi,0.01903383731402184,6,Backbone / B-factor
Calpha_B_factor,0.01597094277511876,7,Backbone / B-factor
mut_onehot_P,0.014287652168155598,8,Mutation-specific biochemical changes
dist_local_COM_A,0.014003831722047394,9,Spatial geometry
contact_count_12A,0.013735222581646746,10,Spatial geometry
pdb_residue_number,0.013252076786950924,11,Spatial geometry
fireprot_position,0.0129326891608152,12,Spatial geometry
nearest_neighbor_1_dist_A,0.012706714511417356,13,Nearest-neighbor environment
nearest_neighbor_3_dist_A,0.012630968892171482,14,Nearest-neighbor environment
dist_protein_COM_A,0.011968182834686711,15,Spatial geometry
dist_weighted_comp_10A_E,0.011827160258915568,16,Distance-weighted composition
nearest_neighbor_2_dist_A,0.011634407920762169,17,Nearest-neighbor environment
norm_B_factor,0.01148518595423521,18,Backbone / B-factor
cos_psi,0.010914333262324898,19,Backbone / B-factor
dist_weighted_comp_10A_K,0.0108342284577745,20,Distance-weighted composition
nearest_neighbor_5_dist_A,0.00936993446840973,21,Nearest-neighbor environment
wt_onehot_Y,0.009283320495148689,22,Mutation-specific biochemical changes
nearest_neighbor_4_dist_A,0.008765762651044923,23,Nearest-neighbor environment
loc_charge_10A,0.00876196876277514,24,Physicochemical environment
dist_weighted_comp_10A_D,0.008099512592505747,25,Distance-weighted composition
loc_hydrophobicity_10A,0.008075941364934254,26,Physicochemical environment
dist_weighted_comp_10A_L,0.00793041034418965,27,Distance-weighted composition
dist_weighted_comp_10A_C,0.00761117265647402,28,Distance-weighted composition
dist_weighted_comp_10A_Y,0.007452658687372362,29,Distance-weighted composition
delta_formal_charge,0.007147917142282008,30,Mutation-specific biochemical changes
sin_psi,0.007128746920266319,31,Backbone / B-factor
contact_count_8A,0.007108024133289024,32,Spatial geometry
dist_weighted_comp_10A_N,0.007087629689540569,33,Distance-weighted composition
dist_weighted_comp_10A_S,0.007049591219720838,34,Distance-weighted composition
dist_weighted_comp_10A_A,0.006922376321510878,35,Distance-weighted composition
dist_weighted_comp_10A_G,0.006858245141011426,36,Distance-weighted composition
dist_weighted_comp_10A_F,0.006643179266896961,37,Distance-weighted composition
loc_polarity_10A,0.006611467443796978,38,Physicochemical environment
dist_weighted_comp_10A_R,0.006506533569188701,39,Distance-weighted composition
cos_phi,0.006477414239565941,40,Backbone / B-factor
nearest_neighbor_5_hydrophobicity,0.006366609918693113,41,Nearest-neighbor environment
dist_weighted_comp_10A_V,0.00625900619015563,42,Distance-weighted composition
dist_weighted_comp_10A_M,0.006022300546221395,43,Distance-weighted composition
dist_weighted_comp_10A_T,0.006005360441656981,44,Distance-weighted composition
nearest_neighbor_2_hydrophobicity,0.005845615955366595,45,Nearest-neighbor environment
nearest_neighbor_1_volume,0.005799496564310541,46,Nearest-neighbor environment
