feature_name,importance,rank,feature_group
delta_kyte_doolittle,0.1510735649771098,1,Mutation information
contact_count_10A,0.1471511665340327,2,Contact counts / network
delta_vdw_volume,0.09351213065448757,3,Mutation information
delta_mol_weight,0.03198326659581731,4,Mutation information
contact_mean_mol_weight,0.025081177021595853,5,Contact counts / network
fireprot_position,0.024426676127399252,6,Contact counts / network
pdb_residue_number,0.022239360315085263,7,Contact counts / network
mut_is_E,0.02205948524054655,8,Contact counts / network
contact_count_8A,0.02107015804496099,9,Contact counts / network
local_contact_density_8A,0.020407171786022773,10,Contact counts / network
std_seq_separation_8A,0.019106751788519352,11,Contact counts / network
contact_mean_vdw_volume,0.018668204815882834,12,Contact counts / network
max_seq_separation_8A,0.01800159206856441,13,Contact counts / network
std_contact_distance_8A,0.017932900756581063,14,Contact counts / network
contact_mean_kyte_doolittle,0.015869955619617775,15,Contact counts / network
mut_is_P,0.013909990850197458,16,Contact counts / network
contact_mean_formal_charge,0.013404572330381281,17,Contact counts / network
mean_seq_separation_8A,0.013248215273431991,18,Contact counts / network
mean_contact_distance_8A,0.013132842024018333,19,Contact counts / network
contact_mean_polarity,0.012570752361823322,20,Contact counts / network
wt_is_Y,0.011760109430123155,21,Contact counts / network
contact_aa_prop_Y,0.010247295449845035,22,Contact counts / network
contact_aa_prop_A,0.009783080015720173,23,Contact counts / network
contact_total_charge,0.009440587004178092,24,Contact counts / network
contact_aa_prop_C,0.009099492756833446,25,Contact counts / network
contact_ratio_long_to_total,0.008878892037255308,26,Contact counts / network
contact_aa_prop_L,0.008697863231261907,27,Contact counts / network
delta_formal_charge,0.008060831320823445,28,Mutation information
contact_aa_prop_S,0.007967459656570726,29,Contact counts / network
contact_aa_prop_G,0.0075082421368754424,30,Contact counts / network
contact_aa_prop_K,0.007292467707831721,31,Contact counts / network
contact_aa_prop_N,0.0070387342154301326,32,Contact counts / network
contact_aa_prop_V,0.006963001856968552,33,Contact counts / network
median_seq_separation_8A,0.006475713700419593,34,Contact counts / network
contact_count_6A,0.006278374209465484,35,Contact counts / network
contact_aa_prop_I,0.006095609441128457,36,Contact counts / network
contact_aa_prop_T,0.005601119398006999,37,Contact counts / network
wt_is_C,0.005515091057461137,38,Contact counts / network
contact_aa_prop_D,0.005441443094991272,39,Contact counts / network
contact_count_med_seq_5_10,0.005370608574628323,40,Contact counts / network
contact_aa_prop_E,0.004717844160269926,41,Contact counts / network
contact_aa_prop_R,0.004612653736843827,42,Contact counts / network
contact_aa_prop_M,0.004428462247061306,43,Contact counts / network
contact_aa_count_K,0.004404233269550201,44,Contact counts / network
contact_count_long_seq_gt20,0.0042415082684296185,45,Contact counts / network
contact_aa_prop_F,0.004194728317952501,46,Contact counts / network
wt_is_G,0.0037536838276693916,47,Contact counts / network
