feature_name,importance,rank,feature_group
delta_hydrophobicity,0.09174167836936906,1,Mutation substitution deltas
delta_volume_vdw,0.08074713287327358,2,Mutation substitution deltas
rel_position,0.06902972571564069,3,Sequence position
seq_len,0.06244805275836367,4,Sequence position
wt_hydrophobicity,0.051299663229533214,5,Sidechain properties
position,0.04870209445723652,6,Sequence position
wt_volume_vdw,0.048039989480996935,7,Sidechain properties
delta_pi_charge,0.03914755352416246,8,Mutation substitution deltas
blosum62,0.032713029371681385,9,Mutation substitution deltas
delta_mol_weight,0.02556723016494278,10,Mutation substitution deltas
mut_onehot_E,0.024956235310070178,11,Mutation substitution deltas
mut_volume_vdw,0.01732868109787182,12,Sidechain properties
mut_hydrophobicity,0.011945284211924423,13,Sidechain properties
mut_onehot_P,0.010552718844024407,14,Mutation substitution deltas
flank_right_+3_V,0.010045934201013254,15,Flanking sequence context
flank_left_-4_D,0.008854292401419044,16,Flanking sequence context
wt_onehot_C,0.007999564860108464,17,Mutation substitution deltas
flank_left_-5_V,0.007698195741517908,18,Flanking sequence context
flank_right_+5_D,0.006611371258435733,19,Flanking sequence context
flank_right_+4_V,0.0058884518583821495,20,Flanking sequence context
flank_left_-1_L,0.005837357995451818,21,Flanking sequence context
flank_left_-3_G,0.005544894671227387,22,Flanking sequence context
flank_right_+2_D,0.005477100911722869,23,Flanking sequence context
flank_left_-3_A,0.0051497893463104275,24,Flanking sequence context
flank_right_+4_N,0.004515968881862352,25,Flanking sequence context
flank_right_+1_K,0.004460242939145583,26,Flanking sequence context
flank_left_-5_G,0.004192961454113694,27,Flanking sequence context
flank_right_+2_K,0.004017244271376146,28,Flanking sequence context
flank_right_+4_A,0.0037765558502162264,29,Flanking sequence context
flank_left_-2_Y,0.0036572350502538805,30,Flanking sequence context
flank_right_+1_Q,0.0036540197716945083,31,Flanking sequence context
flank_right_+4_L,0.003529777418902038,32,Flanking sequence context
flank_left_-1_T,0.003407533898466905,33,Flanking sequence context
flank_left_-5_K,0.00328867436933286,34,Flanking sequence context
flank_left_-2_A,0.00322447275343616,35,Flanking sequence context
flank_left_-5_A,0.0031533266447648462,36,Flanking sequence context
flank_right_+5_Y,0.0031500116987725735,37,Flanking sequence context
flank_left_-5_L,0.003119636780502678,38,Flanking sequence context
flank_right_+4_F,0.0030576425168520873,39,Flanking sequence context
mut_onehot_G,0.0030101523749999012,40,Mutation substitution deltas
flank_right_+2_W,0.003000212748288322,41,Flanking sequence context
flank_left_-5_P,0.002981278767857291,42,Flanking sequence context
flank_right_+4_G,0.0028014811178629384,43,Flanking sequence context
flank_right_+1_E,0.00277039771205113,44,Flanking sequence context
flank_right_+1_V,0.0026696630607871323,45,Flanking sequence context
flank_right_+2_N,0.0026612015612168787,46,Flanking sequence context
flank_left_-4_G,0.002641623117980666,47,Flanking sequence context
flank_left_-1_A,0.00258244551555971,48,Flanking sequence context
flank_right_+2_Q,0.002555658908996319,49,Flanking sequence context
wt_onehot_Y,0.0025487218067465384,50,Mutation substitution deltas
flank_right_+3_H,0.002541477743293946,51,Flanking sequence context
flank_left_-1_F,0.002539253751506805,52,Flanking sequence context
flank_right_+3_L,0.0025351717742079396,53,Flanking sequence context
flank_right_+3_E,0.0024896054655114993,54,Flanking sequence context
flank_right_+2_A,0.002481376325742212,55,Flanking sequence context
flank_left_-2_G,0.0024536179130975394,56,Flanking sequence context
flank_left_-4_S,0.0024325589126614517,57,Flanking sequence context
flank_left_-4_N,0.0024307649684216243,58,Flanking sequence context
flank_right_+3_F,0.0024292274416828864,59,Flanking sequence context
flank_right_+1_I,0.0023559894278897798,60,Flanking sequence context
flank_left_-1_V,0.0023367989850787163,61,Flanking sequence context
flank_left_-2_N,0.0023302371067300456,62,Flanking sequence context
flank_right_+3_A,0.002312245793039042,63,Flanking sequence context
flank_left_-4_T,0.0023033961790796015,64,Flanking sequence context
flank_left_-1_N,0.002238816095298911,65,Flanking sequence context
flank_right_+5_M,0.002236470942470786,66,Flanking sequence context
flank_right_+1_L,0.002211144442766936,67,Flanking sequence context
flank_right_+3_T,0.0021318520850267834,68,Flanking sequence context
