config_id,fold,params_str,MAE,RMSE,R2,Pearson,Spearman
1,1,"{""n_estimators"": 150, ""min_samples_split"": 2, ""min_samples_leaf"": 20, ""max_features"": ""log2"", ""max_depth"": 4}",1.415827902664975,1.5773808439928876,-0.09089571272816244,0.4325591013616469,0.40668025556594534
1,2,"{""n_estimators"": 150, ""min_samples_split"": 2, ""min_samples_leaf"": 20, ""max_features"": ""log2"", ""max_depth"": 4}",1.4153811320250358,2.0711659986282247,-0.09519261611824725,0.46785603725411595,0.41172202980102474
1,3,"{""n_estimators"": 150, ""min_samples_split"": 2, ""min_samples_leaf"": 20, ""max_features"": ""log2"", ""max_depth"": 4}",1.2630839875931432,1.6836291903763803,0.05314474424872684,0.3658676859754884,0.3794854058693705
1,4,"{""n_estimators"": 150, ""min_samples_split"": 2, ""min_samples_leaf"": 20, ""max_features"": ""log2"", ""max_depth"": 4}",1.2640035331459578,1.610124740630927,0.05253354824324119,0.35530912814244886,0.332625872908257
1,5,"{""n_estimators"": 150, ""min_samples_split"": 2, ""min_samples_leaf"": 20, ""max_features"": ""log2"", ""max_depth"": 4}",1.194480159002634,1.5932602959336717,0.05676001602756442,0.37962689775779646,0.39779751999726004
2,1,"{""n_estimators"": 500, ""min_samples_split"": 5, ""min_samples_leaf"": 1, ""max_features"": ""log2"", ""max_depth"": 8}",1.3534261430353676,1.5177774378131565,-0.010011446017829106,0.44856997944091687,0.4282716768833548
2,2,"{""n_estimators"": 500, ""min_samples_split"": 5, ""min_samples_leaf"": 1, ""max_features"": ""log2"", ""max_depth"": 8}",1.3794649864857675,2.0115704835864805,-0.0330734498361942,0.47631650964948813,0.41501314324405325
2,3,"{""n_estimators"": 500, ""min_samples_split"": 5, ""min_samples_leaf"": 1, ""max_features"": ""log2"", ""max_depth"": 8}",1.2262211077961274,1.6458990666344802,0.0951072713793969,0.383537144689435,0.40201385219537467
2,4,"{""n_estimators"": 500, ""min_samples_split"": 5, ""min_samples_leaf"": 1, ""max_features"": ""log2"", ""max_depth"": 8}",1.2349249651014689,1.5717240331242328,0.09718787597309464,0.373294159770443,0.3264420911755559
2,5,"{""n_estimators"": 500, ""min_samples_split"": 5, ""min_samples_leaf"": 1, ""max_features"": ""log2"", ""max_depth"": 8}",1.1598760551472393,1.5572529357507319,0.0989123208206506,0.4003188366307235,0.40256619422740697
3,1,"{""n_estimators"": 500, ""min_samples_split"": 10, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 8}",1.311918313780411,1.4947700289093067,0.020377225862076243,0.4427617667585245,0.4390558402434226
3,2,"{""n_estimators"": 500, ""min_samples_split"": 10, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 8}",1.3373866351486359,1.9473927117174277,0.031793994945250925,0.5127770878149817,0.47084535219224083
3,3,"{""n_estimators"": 500, ""min_samples_split"": 10, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 8}",1.1941118044989916,1.614435098406821,0.12937350017335236,0.39085328050844803,0.41791065729092247
3,4,"{""n_estimators"": 500, ""min_samples_split"": 10, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 8}",1.2211330119753883,1.5519431907779102,0.11976945656351601,0.37186238444132963,0.3239043850923456
3,5,"{""n_estimators"": 500, ""min_samples_split"": 10, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 8}",1.123982564612425,1.5260825095553034,0.1346241627721959,0.40756436824351844,0.39739875367468036
4,1,"{""n_estimators"": 500, ""min_samples_split"": 5, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 4}",1.3597771822658826,1.5255147489807104,-0.020335346850990366,0.43433789287520475,0.4200209654386899
4,2,"{""n_estimators"": 500, ""min_samples_split"": 5, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 4}",1.3750599783782416,2.0086397249266046,-0.030065368948567928,0.49592735543819866,0.4355827798282704
4,3,"{""n_estimators"": 500, ""min_samples_split"": 5, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 4}",1.2279231716730228,1.6483830889453672,0.09237384748484989,0.3805235771656839,0.3972673000529455
4,4,"{""n_estimators"": 500, ""min_samples_split"": 5, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 4}",1.2373489904875832,1.5725609920248094,0.0962261068411534,0.37351278545854966,0.32359803638611306
4,5,"{""n_estimators"": 500, ""min_samples_split"": 5, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 4}",1.1612182643424092,1.5566219824711436,0.09964236156687867,0.4041263471603704,0.3991495717772391
