config_id,mean_cv_MAE,std_cv_MAE,mean_cv_RMSE,mean_cv_R2,mean_cv_Pearson,mean_cv_Spearman,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features
21,1.2204337194543555,0.07368072108433799,1.6395398242834553,0.07206603698912199,0.41406871359495945,0.394603213042853,300,12,5,20,0.5
16,1.2209345996116971,0.07071720895488892,1.613866849978439,0.10172646098724751,0.42657685204335233,0.4107952019312216,150,None,20,10,sqrt
9,1.222747491350804,0.07348541175678436,1.6411297125970896,0.07001310115388852,0.4146283060258151,0.395859483206445,500,12,20,20,0.5
22,1.223604997782134,0.07360960686703921,1.6213378822861244,0.0931351197473443,0.41656580917312713,0.39843258448814145,150,12,5,1,sqrt
8,1.2290183502194032,0.07710083772787947,1.6556337079284789,0.05290713242016485,0.3966539226262206,0.3848160127548349,150,None,10,10,0.5
14,1.2306824084880978,0.07753735921712498,1.654167858824905,0.054419559901806046,0.39764526916179743,0.38713749882037335,300,10,5,10,0.5
25,1.2308860085211943,0.07240474039830012,1.6207772826243354,0.09371659144288051,0.42334374413750203,0.410325222623429,150,10,5,10,sqrt
3,1.2377064660031705,0.07816883536165527,1.626924707873354,0.0871876680632783,0.4251637775533605,0.4098229976987223,500,8,10,1,sqrt
17,1.2377322977444771,0.07867188259847674,1.6564501111751535,0.050674461266602445,0.3947383412928744,0.3855068800731832,500,8,20,5,0.5
7,1.238060039465761,0.07468680508256101,1.662277274738186,0.04439208845745864,0.3918445507295991,0.38358293281567213,300,None,20,1,0.5
23,1.2429737506842824,0.08724633428097743,1.6726462345446325,0.031873735242681514,0.38898418995780965,0.3780911983945711,150,12,2,1,0.5
6,1.2440671033607256,0.08486420300763987,1.6763314520253634,0.029580476451369565,0.37912506484682956,0.3630308606130254,300,12,5,1,1.0
18,1.2447385448424955,0.08324509065071115,1.6776098968242343,0.025585343429225693,0.38241248785452003,0.3684675825973528,150,10,2,10,1.0
11,1.2465538242620675,0.08239745501715476,1.6338684400444912,0.079534410833911,0.42538234021033305,0.4101737668126641,300,8,2,20,sqrt
19,1.2469229360567997,0.07756233967923519,1.6362528201001034,0.07739888948619847,0.41996057677519893,0.3992149425015339,150,6,10,1,sqrt
10,1.2490207720091022,0.08008056697259966,1.666616022785665,0.040045398854865,0.3827848451807297,0.3681147719065965,300,6,5,1,1.0
13,1.249407398033231,0.08367925067799702,1.6866349563133938,0.014883079787084008,0.37712131401348736,0.3700694511483701,500,None,20,2,1.0
20,1.2568125795968244,0.08265916792737923,1.6442230818911725,0.06789102088458013,0.4221895777715633,0.4016951679469713,500,6,2,20,sqrt
24,1.2703313103376428,0.08293744764645358,1.660274654764964,0.05012281296680765,0.41757936059485345,0.3955231578464603,500,8,10,2,log2
2,1.2707826515131941,0.08272070429680432,1.6608447913818165,0.049624514463823766,0.4164073260362013,0.39486139154514915,500,8,5,1,log2
4,1.272265517429428,0.08214851499965013,1.6623441074697272,0.047568320018664734,0.4176855916196015,0.39512373069665163,500,4,5,1,sqrt
5,1.2755328152116403,0.08425865652072148,1.6656585693397896,0.044120711870107486,0.41507616845796325,0.39877194918822617,300,8,5,5,log2
12,1.2775713928878922,0.08474250502592522,1.6676403865534617,0.041302958092357775,0.4159888512560844,0.39678451990438396,300,4,10,20,sqrt
15,1.308185760998251,0.08903861164841662,1.7043226486603527,-0.0013477633007896062,0.4091989203331902,0.39284768847606005,150,4,20,2,log2
1,1.310555342886349,0.08940336323428824,1.7071122139124182,-0.0047300040653754484,0.4002437700982993,0.38566221682837154,150,4,2,20,log2
